DC_ID,Node1,Node2,EPANET,Diameter,Length,Roughness,Minorloss,Status,Material,Zone,DateMapped,Dia_Inch,Network,Inst_Date,ServiceSta,Remarks,Ext_Overha,Nodel1,Nodel2,Dia_DN,Dia Inch,FID,layer,path
457.807463,,,Y,100,457.807,0,0.1,CLOSED,HDPE,KREKAJ,10.2016,4.00,Distribution Main,2016,Still pending,Pump line,No,,,,,,,
578.267046,,,Y,75,578.267,0,0.1,CLOSED,PVC,KREKAJ,10.2016,3.00,Distribution Main,2016,Still pending,OK,No,,,,,,,
342.000404,,,Y,50,342.000,0,0.1,CLOSED,PVC,KREKAJ,10.2016,2.00,Distribution Main,2016,Still pending,ok,No,,,,,,,
114.394614,,,Y,75,114.395,0,0.1,CLOSED,PVC,KREKAJ,10.2016,3.00,Distribution Main,2016,Still pending,Ok,No,,,,,,,
194.477605,,,Y,50,194.478,0,0.1,CLOSED,PVC,KREKAJ,10.2016,2.00,Distribution Main,2016,Still pending,Ok,No,,,,,,,
123.299881,,,Y,100,123.300,0,0.1,OPEN,PVC,MYT,07.2015,4.00,Distribution Main,2014,In Service,,No,,,,,,,
141.115538,,,Y,32,141.116,0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,,,,,,,
422.667058,,,Y,32,422.667,0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,,,,,,,
23.4329962,,,Y,50,23.433,0,0.1,OPEN,PVC,MYT,03.2017,2.00,Distribution Main,,In Service,Ok,No,,,,,,,
127.695942,,,Y,32,127.696,0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,,,,,,,
136.640697,,,Y,50,136.641,0,0.1,OPEN,PVC,MYT,09.2016,2.00,Distribution Main,09.2016,In Service,,No,,,,,,,
128.132094,,,Y,32,128.132,0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,,,,,,,
262.644678,,,Y,50,262.645,0,0.1,OPEN,PVC,MYT,03.2017,2.00,Distribution Main,,In Service,Laid by the community,No,,,,,,,
104.852262,,,Y,32,104.852,0,0.1,OPEN,PVC,MYT,03.2017,1.25,Distribution Main,,In Service,Ok,No,,,,,,,
910.393470,,,Y,40,910.393,0,0.1,OPEN,PVC,MYT,03.2017,1.50,Distribution Main,2016,In Service,Serves Wamalanda Kiosk,No,,,,,,,
196.518498,,,Y,100,196.518,0,0.1,OPEN,PVC,MYT,10.2015,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
767.233705,,,Y,100,767.234,0,0.1,OPEN,PVC,MYT,03.2017,4.00,Distribution Main,2014,In Service,LTAP,No,,,,,,,
803.507024,,,Y,100,803.507,0,0.1,OPEN,PVC,MYT,03.2017,4.00,Distribution Main,1978,In Service,Ok,No,,,,,,,
51.9363005,,,Y,300,51.936,0,0.1,OPEN,GI,MIL,2014,12.00,Distribution Main,N/A,In Service,Supplies water for backwash.,No,,,,,,,
11.0704488,,,Y,400,11.070,0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
10.5968711,,,Y,400,10.597,0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
5.03964373,,,Y,400,5.040,0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
6.22172342,,,Y,400,6.222,0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
2137.03724,,,Y,600,2137.037,0,0.1,OPEN,Steel,MIL,2014,24.00,Transmission Main,N/A,In Service,Supplies water to Kibuye.,No,,,,,,,
8.62378809,,,Y,300,8.624,0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
11.0663519,,,Y,300,11.066,0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
14.2936234,,,Y,250,14.294,0,0.1,OPEN,Steel,MIL,2014,10.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
9.06442204,,,Y,250,9.064,0,0.1,OPEN,Steel,MIL,2014,10.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
15.9445099,,,Y,225,15.945,0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,Supplies water to Watson.,No,,,,,,,
70.8563769,,,Y,225,70.856,0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,Supplies water to Watson.,No,,,,,,,
1.70855416,,,Y,300,1.709,0,0.1,CLOSED,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1.71645885,,,Y,300,1.716,0,0.1,CLOSED,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
5.72097528,,,Y,300,5.721,0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
5.63942671,,,Y,300,5.639,0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1597.32068,,,Y,300,1597.321,0,0.1,OPEN,Steel,CBD,2014,12.00,Transmission Main,2014,In Service,LTAP Lines,No,,,,,,,
527.648182,,,Y,600,527.648,0,0.1,OPEN,Steel,KREKAJ,2014,24.00,Transmission Main,2014,In Service,LTAP Lines,No,,,,,,,
134.370169,,,Y,700,134.370,0,0.1,OPEN,Steel,KREKAJ,2014,28.00,Transmission Main,2014,In Service,LTAP Lines,No,,,,,,,
1484.26187,,,Y,700,1484.262,0,0.1,OPEN,Steel,KREKAJ,2014,28.00,Transmission Main,2014,In Service,LTAP Lines,No,,,,,,,
96.8117789,,,Y,100,96.812,0,0.1,OPEN,Steel,KREKAJ,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
24.7764618,,,Y,250,24.776,0,0.1,OPEN,Steel,CBD,2014,10.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
126.429723,,,Y,350,126.430,0,0.1,OPEN,Steel,CBD,2014,14.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
116.291340,,,Y,100,116.291,0,0.1,OPEN,Steel,CBD,2014,4.00,Distribution Main,2014,In Service,LTAP Lines-sleeve,No,,,,,,,
99.9693886,,,Y,200,99.969,0,0.1,OPEN,Steel,CBD,2014,8.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
15.5669174,,,Y,150,15.567,0,0.1,OPEN,PVC,KREKAJ,2014,6.00,Distribution Main,06.2014,In Service,LTAP Extension lines,No,,,,,,,
104.579301,,,Y,50,104.579,0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,06.2014,In Service,LTAP Extension lines,No,,,,,,,
230.282346,,,Y,50,230.282,0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,06.2014,In Service,LTAP Extension lines,No,,,,,,,
231.296332,,,Y,50,231.296,0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,06.2014,In Service,LTAP Extension lines,No,,,,,,,
316.268520,,,Y,100,316.269,0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
1469.22218,,,Y,100,1469.222,0,0.1,OPEN,PVC,CBD,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
410.738310,,,Y,150,410.738,0,0.1,OPEN,PVC,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
137.839727,,,Y,100,137.840,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
170.768107,,,Y,100,170.768,0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
262.914259,,,Y,150,262.914,0,0.1,OPEN,AC,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
264.571473,,,Y,75,264.571,0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
478.753744,,,Y,100,478.754,0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
712.480569,,,Y,50,712.481,0,0.1,OPEN,GI,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
0.75726696,,,Y,125,0.757,0,0.1,OPEN,GI,CBD,2014,5.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
74.5479957,,,Y,50,74.548,0,0.1,OPEN,GI,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
307.768503,,,Y,75,307.769,0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
114.049496,,,Y,50,114.049,0,0.1,OPEN,PVC,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
326.527149,,,Y,50,326.527,0,0.1,OPEN,PVC,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
414.266128,,,Y,75,414.266,0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
320.031742,,,Y,75,320.032,0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
433.020698,,,Y,250,433.021,0,0.1,OPEN,PVC,CBD,2014,10.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1099.53670,,,Y,150,1099.537,0,0.1,OPEN,AC,KREKAJ,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
174.391674,,,Y,75,174.392,0,0.1,OPEN,AC,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
182.181534,,,Y,75,182.182,0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
155.895564,,,Y,100,155.896,0,0.1,OPEN,PVC,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1068.69621,,,Y,50,1068.696,0,0.1,OPEN,GI,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
0.83765080,,,Y,150,0.838,0,0.1,OPEN,GI,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
